"","X","Tip","Ecto_spp","Genus","Plot","Site","Salix.spp","Ind","abund","mean","Phylum","Order","...1","Ecto_ID","Species","Subspecies","Rhizomorph","Foraging_distance","Accession_No","Notes","Tree_site"
"99",592,1119,"Inocybe3","Inocybe",11,"68","SER","68SER1",1,-0.1,"Basidiomycota","Agaricales",15,"Inocybe semifulva","semifulva",NA,NA,NA,"KT275638.1","95% similar, may also be flocculosa, tigrina","68SER"
"100",593,1121,"Inocybe_glabrescens","Inocybe",11,"68","SER","68SER1",1,-0.1,"Basidiomycota","Agaricales",11,"Inocybe glabrescens","glabrescens",NA,NA,NA,"KT275657.1","97% similar or flocculoso or abjecta","68SER"
"101",604,1151,"Hebeloma_cf._atrobrunneum","Hebeloma",11,"68","PET","68PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","68PET"
"102",605,1152,"Hebeloma_cf._atrobrunneum","Hebeloma",11,"68","PET","68PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","68PET"
"103",608,1155,"Hebeloma_cf._atrobrunneum","Hebeloma",11,"68","PET","68PET1",1,-0.1,"Basidiomycota","Agaricales",7,"Hebeloma hygrophilum","hygrophilum",NA,NA,NA,"KT275664.1","99% across 99%","68PET"
"104",610,1157,"Hebeloma1","Hebeloma",11,"68","PET","68PET1",1,-0.1,"Basidiomycota","Agaricales",10,"Hebeloma NA",NA,NA,NA,NA,NA,NA,"68PET"
"105",614,1195,"Cortinarius4","Cortinarius",1,"AS1","HUM","AS1HUM1",1,-1.3,"Basidiomycota","Agaricales",16,"Cortinarius NA",NA,NA,NA,NA,"KT275626.1",NA,"AS1HUM"
"106",627,1217,"Inocybe4","Inocybe",1,"AS1","HUM","AS1HUM2",1,-1.3,"Basidiomycota","Agaricales",17,"Inocybe derbschii","derbschii",NA,NA,NA,"KT275639.1","87% similar, could easily also be grammopodia","AS1HUM"
"107",637,1229,"Inocybe4","Inocybe",1,"AS1","HUM","AS1HUM3",1,-1.3,"Basidiomycota","Agaricales",17,"Inocybe derbschii","derbschii",NA,NA,NA,"KT275639.1","87% similar, could easily also be grammopodia","AS1HUM"
"108",638,1230,"Inocybe4","Inocybe",1,"AS1","HUM","AS1HUM3",1,-1.3,"Basidiomycota","Agaricales",17,"Inocybe derbschii","derbschii",NA,NA,NA,"KT275639.1","87% similar, could easily also be grammopodia","AS1HUM"
"109",677,1334,"Inocybe9","Inocybe",3,"AS3","HUM","AS3HUM3",1,-0.9,"Basidiomycota","Agaricales",18,"Inocybe curvipes","curvipes",NA,NA,NA,"KT275613.1",NA,"AS3HUM"
"110",678,1337,"Laccaria1","Laccaria",3,"AS3","HUM","AS3HUM3",1,-0.9,"Basidiomycota","Agaricales",1,"Laccaria tortillus","tortillus","NA","N",NA,"KT275654.1","100% similar","AS3HUM"
"111",726,1412,"Cortinarius4","Cortinarius",3,"AS3","BEB","AS3BEB3",1,-0.9,"Basidiomycota","Agaricales",16,"Cortinarius NA",NA,NA,NA,NA,"KT275626.1",NA,"AS3BEB"
"112",761,1473,"Laccaria_laccata","Laccaria",6,"89","BEB","",1,-0.3,"Basidiomycota","Agaricales",12,"Laccaria alba","alba",NA,NA,NA,"KT275642.1","99% similar, more likecly to be alba than laccata since its largely idintifies with cf. laccata","89BEB"
