"","Tip","Ecto_spp","type","trait","Plot","Site","Salix.spp","Ind","Plspp","mean","...1","Ecto_ID","Species","Rhizomorph","Foraging_distance","Genus","em_expl","Ectomycorrhiza_exploration_type_template"
"81",71,"Tomentella5","medium","exploration_type",6,"89","PET","BB-2c","89PET",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"82",564,"Tomentella2","medium","exploration_type",8,"18","PET","18PET3","18PET",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"83",566,"Tomentella2","medium","exploration_type",8,"18","PET","18PET3","18PET",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"84",613,"Tomentella2","medium","exploration_type",8,"18","DIS","18DIS1","18DIS",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"85",621,"Tomentella2","medium","exploration_type",8,"18","DIS","18DIS3","18DIS",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"86",623,"Tomentella2","medium","exploration_type",8,"18","DIS","18DIS3","18DIS",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"87",624,"Tomentella2","medium","exploration_type",8,"18","DIS","18DIS3","18DIS",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"88",625,"Tomentella2","medium","exploration_type",8,"18","DIS","18DIS3","18DIS",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"89",636,"Tomentella2","medium","exploration_type",8,"18","DIS","18DIS2","18DIS",-0.1,58,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"90",752,"Tomentella17","medium","exploration_type",9,"40","BEB","40BEB3","40BEB",-0.1,72,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"91",768,"Tomentella18","medium","exploration_type",9,"40","DIS","40DIS3","40DIS",-0.1,73,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"92",816,"Tomentella17","medium","exploration_type",9,"40","DIS","40DIS2","40DIS",-0.1,72,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"93",848,"Tomentella13","medium","exploration_type",9,"40","PET","40PET3","40PET",-0.1,74,"Tomentella subclavigera","subclavigera",NA,NA,"Tomentella",NA,"medium-distance_smooth"
"94",996,"Tomentella19","medium","exploration_type",12,"49","PED","49PED3","49PED",0.1,75,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"95",1060,"Tomentella13","medium","exploration_type",12,"49","DIS","49DIS2","49DIS",0.1,74,"Tomentella subclavigera","subclavigera",NA,NA,"Tomentella",NA,"medium-distance_smooth"
"96",1416,"Tomentella10","medium","exploration_type",6,"89","BEB","89BEB2","89BEB",-0.3,81,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"97",1419,"Tomentella10","medium","exploration_type",6,"89","BEB","89BEB2","89BEB",-0.3,81,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"98",1420,"Tomentella10","medium","exploration_type",6,"89","BEB","89BEB2","89BEB",-0.3,81,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"99",1426,"Tomentella10","medium","exploration_type",6,"89","BEB","89BEB2","89BEB",-0.3,81,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"100",1431,"Tomentella5","medium","exploration_type",6,"89","BEB","89BEB1","89BEB",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"101",1435,"Tomentella5","medium","exploration_type",6,"89","BEB","89BEB1","89BEB",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"102",1468,"Tomentella5","medium","exploration_type",6,"89","BEB","89BEB1","89BEB",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"103",1469,"Tomentella5","medium","exploration_type",6,"89","BEB","89BEB1","89BEB",-0.3,60,"Tomentella sp.","sp.",NA,NA,"Tomentella","C","medium-distance_smooth"
"104",433,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",4,"26","BEB","26BEB3","26BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"105",437,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",4,"26","BEB","26BEB3","26BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"106",505,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"107",506,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"108",511,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"109",514,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"110",516,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",5,"92","BEB","92BEB1","92BEB",-0.4,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"111",651,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",10,"19","PED","19PED1","19PED",-0.1,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"112",921,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",7,"34","CAN","34CAN3","34CAN",-0.1,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"113",926,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",7,"34","CAN","34CAN3","34CAN",-0.1,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"114",927,"Inocybe_lacera_var._lacera","r_false","rhizomorphs",7,"34","CAN","34CAN3","34CAN",-0.1,6,"Inocybe lacera","lacera","N","short","Inocybe",NA,"short-distance_delicate"
"115",13,"Cenococcum_geophilum","r_false","rhizomorphs",6,"89","DIS","BB-3M","89DIS",-0.3,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"116",215,"Cenococcum_geophilum","r_false","rhizomorphs",2,"10","HUM","10HUM1","10HUM",-1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"117",218,"Cenococcum_geophilum","r_false","rhizomorphs",2,"10","HUM","10HUM1","10HUM",-1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"118",221,"Cenococcum_geophilum","r_false","rhizomorphs",2,"10","HUM","10HUM1","10HUM",-1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"119",766,"Cenococcum_geophilum","r_false","rhizomorphs",9,"40","DIS","40DIS3","40DIS",-0.1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"120",771,"Cenococcum_geophilum","r_false","rhizomorphs",9,"40","DIS","40DIS3","40DIS",-0.1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
"121",1080,"Cenococcum_geophilum","r_false","rhizomorphs",12,"49","PED","49PED1","49PED",0.1,23,"Cenococcum geophilum","geophilum","N","short","Cenococcum",NA,"short-distance_coarse"
